epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.9424,0.24387,2.42649,1.0152,0.27973,0.84739,0.16935,0.16627,0.24472,1.53751,0.35514,0.0033156,0.0033156,0.0033156
2,146.035,0.17356,1.6602,0.92996,0.49208,0.43331,0.27501,0.27171,0.1916,1.42726,0.31517,0.00660647,0.00660647,0.00660647
3,219.323,0.20669,1.49125,0.93483,0.28893,0.3598,0.16438,0.09484,0.77031,2.08628,0.68759,0.00985475,0.00985475,0.00985475
4,288.253,0.20568,1.39597,0.94026,0.3872,0.47451,0.29226,0.28112,0.28965,1.34875,0.42131,0.00980839,0.00980839,0.00980839
5,356.968,0.18193,1.28344,0.92687,0.2464,0.62766,0.35032,0.3454,0.17236,1.46434,0.26059,0.00974452,0.00974452,0.00974452
6,425.419,0.15995,1.2164,0.91605,0.26519,0.66132,0.3809,0.36721,0.28602,1.28886,0.39733,0.00968065,0.00968065,0.00968065
7,494.104,0.14702,1.1783,0.91126,0.36275,0.64088,0.43064,0.42304,0.22423,1.11553,0.30742,0.00961677,0.00961677,0.00961677
8,562.384,0.13206,1.14438,0.90757,0.46884,0.49448,0.46477,0.45619,0.24318,1.09033,0.35564,0.0095529,0.0095529,0.0095529
9,631.501,0.12493,1.12462,0.90696,0.51829,0.57286,0.46317,0.45021,0.26906,1.13697,0.37183,0.00948903,0.00948903,0.00948903
10,700.607,0.11876,1.09463,0.90688,0.54565,0.52302,0.47609,0.46497,0.24383,1.09345,0.34212,0.00942516,0.00942516,0.00942516
11,769.633,0.11215,1.09537,0.90426,0.37014,0.64002,0.48613,0.48343,0.2303,1.05709,0.32422,0.00936129,0.00936129,0.00936129
12,841.28,0.10645,1.06512,0.90002,0.57143,0.51682,0.48538,0.48239,0.1846,1.08555,0.27137,0.00929742,0.00929742,0.00929742
13,917.027,0.10039,1.04449,0.89941,0.63403,0.46913,0.47271,0.47127,0.17508,1.06871,0.24155,0.00923355,0.00923355,0.00923355
14,987.072,0.09772,1.03718,0.89768,0.48957,0.56182,0.51288,0.51264,0.18974,1.26897,0.26651,0.00916968,0.00916968,0.00916968
15,1054.62,0.09539,1.02218,0.89512,0.54344,0.60894,0.5433,0.53614,0.18945,0.94333,0.28537,0.00910581,0.00910581,0.00910581
16,1123.57,0.09122,1.01687,0.89702,0.61893,0.59656,0.59005,0.5899,0.14983,0.85392,0.2098,0.00904194,0.00904194,0.00904194
17,1190.92,0.08905,1.00183,0.896,0.61028,0.58114,0.56927,0.5595,0.18565,0.93631,0.26175,0.00897806,0.00897806,0.00897806
